alignments	anticodons	agreement	count	input_file	simulation_n	quant_method
single	single	correct	439656	DMtRNAseq_treated_1	0	bowtie2
single	single	incorrect	3516	DMtRNAseq_treated_1	0	bowtie2
multiple	multiple	incorrect	86613	DMtRNAseq_treated_1	0	bowtie2
multiple	single	incorrect	1507	DMtRNAseq_treated_1	0	bowtie2
multiple	single	correct	466169	DMtRNAseq_treated_1	0	bowtie2
single	single	correct	419987	DMtRNAseq_treated_1	0	shrimp
single	single	incorrect	2910	DMtRNAseq_treated_1	0	shrimp
multiple	multiple	incorrect	74967	DMtRNAseq_treated_1	0	shrimp
multiple	single	incorrect	2594	DMtRNAseq_treated_1	0	shrimp
multiple	single	correct	447158	DMtRNAseq_treated_1	0	shrimp
single	single	correct	443024	DMtRNAseq_treated_2	0	bowtie2
single	single	incorrect	1142	DMtRNAseq_treated_2	0	bowtie2
multiple	single	incorrect	1463	DMtRNAseq_treated_2	0	bowtie2
multiple	single	correct	463266	DMtRNAseq_treated_2	0	bowtie2
multiple	multiple	incorrect	87522	DMtRNAseq_treated_2	0	bowtie2
single	single	correct	422145	DMtRNAseq_treated_2	0	shrimp
single	single	incorrect	1645	DMtRNAseq_treated_2	0	shrimp
multiple	multiple	incorrect	74199	DMtRNAseq_treated_2	0	shrimp
multiple	single	correct	445469	DMtRNAseq_treated_2	0	shrimp
multiple	single	incorrect	1912	DMtRNAseq_treated_2	0	shrimp
single	single	correct	437549	YAMATseq_BT20_A	0	bowtie2
single	single	incorrect	3293	YAMATseq_BT20_A	0	bowtie2
multiple	multiple	incorrect	92654	YAMATseq_BT20_A	0	bowtie2
multiple	single	incorrect	1022	YAMATseq_BT20_A	0	bowtie2
multiple	single	correct	452697	YAMATseq_BT20_A	0	bowtie2
single	single	correct	414667	YAMATseq_BT20_A	0	shrimp
single	single	incorrect	3435	YAMATseq_BT20_A	0	shrimp
multiple	single	incorrect	920	YAMATseq_BT20_A	0	shrimp
multiple	single	correct	424421	YAMATseq_BT20_A	0	shrimp
multiple	multiple	incorrect	75749	YAMATseq_BT20_A	0	shrimp
single	single	correct	433423	YAMATseq_BT20_B	0	bowtie2
single	single	incorrect	3285	YAMATseq_BT20_B	0	bowtie2
multiple	single	incorrect	975	YAMATseq_BT20_B	0	bowtie2
multiple	single	correct	448971	YAMATseq_BT20_B	0	bowtie2
multiple	multiple	incorrect	93762	YAMATseq_BT20_B	0	bowtie2
single	single	correct	411272	YAMATseq_BT20_B	0	shrimp
single	single	incorrect	3177	YAMATseq_BT20_B	0	shrimp
multiple	single	incorrect	828	YAMATseq_BT20_B	0	shrimp
multiple	single	correct	417744	YAMATseq_BT20_B	0	shrimp
multiple	multiple	incorrect	75380	YAMATseq_BT20_B	0	shrimp
single	single	correct	439969	YAMATseq_BT20_C	0	bowtie2
single	single	incorrect	3346	YAMATseq_BT20_C	0	bowtie2
multiple	multiple	incorrect	93861	YAMATseq_BT20_C	0	bowtie2
multiple	single	incorrect	909	YAMATseq_BT20_C	0	bowtie2
multiple	single	correct	449017	YAMATseq_BT20_C	0	bowtie2
single	single	correct	417714	YAMATseq_BT20_C	0	shrimp
single	single	incorrect	3427	YAMATseq_BT20_C	0	shrimp
multiple	single	incorrect	865	YAMATseq_BT20_C	0	shrimp
multiple	single	correct	424067	YAMATseq_BT20_C	0	shrimp
multiple	multiple	incorrect	75943	YAMATseq_BT20_C	0	shrimp
single	single	correct	455004	YAMATseq_MCF7_A	0	bowtie2
single	single	incorrect	3644	YAMATseq_MCF7_A	0	bowtie2
multiple	single	incorrect	1279	YAMATseq_MCF7_A	0	bowtie2
multiple	single	correct	441882	YAMATseq_MCF7_A	0	bowtie2
multiple	multiple	incorrect	82172	YAMATseq_MCF7_A	0	bowtie2
single	single	correct	434570	YAMATseq_MCF7_A	0	shrimp
single	single	incorrect	2994	YAMATseq_MCF7_A	0	shrimp
multiple	multiple	incorrect	66715	YAMATseq_MCF7_A	0	shrimp
multiple	single	incorrect	896	YAMATseq_MCF7_A	0	shrimp
multiple	single	correct	418603	YAMATseq_MCF7_A	0	shrimp
single	single	correct	454433	YAMATseq_MCF7_B	0	bowtie2
single	single	incorrect	3121	YAMATseq_MCF7_B	0	bowtie2
multiple	single	incorrect	952	YAMATseq_MCF7_B	0	bowtie2
multiple	single	correct	445091	YAMATseq_MCF7_B	0	bowtie2
multiple	multiple	incorrect	83862	YAMATseq_MCF7_B	0	bowtie2
single	single	correct	434329	YAMATseq_MCF7_B	0	shrimp
single	single	incorrect	2676	YAMATseq_MCF7_B	0	shrimp
multiple	single	incorrect	865	YAMATseq_MCF7_B	0	shrimp
multiple	single	correct	420861	YAMATseq_MCF7_B	0	shrimp
multiple	multiple	incorrect	68906	YAMATseq_MCF7_B	0	shrimp
single	single	correct	456045	YAMATseq_MCF7_C	0	bowtie2
single	single	incorrect	3358	YAMATseq_MCF7_C	0	bowtie2
multiple	single	incorrect	1149	YAMATseq_MCF7_C	0	bowtie2
multiple	single	correct	445746	YAMATseq_MCF7_C	0	bowtie2
multiple	multiple	incorrect	81587	YAMATseq_MCF7_C	0	bowtie2
single	single	correct	433158	YAMATseq_MCF7_C	0	shrimp
single	single	incorrect	2824	YAMATseq_MCF7_C	0	shrimp
multiple	single	incorrect	1003	YAMATseq_MCF7_C	0	shrimp
multiple	single	correct	421225	YAMATseq_MCF7_C	0	shrimp
multiple	multiple	incorrect	66574	YAMATseq_MCF7_C	0	shrimp
single	single	correct	445673	YAMATseq_SKBR3_A	0	bowtie2
single	single	incorrect	3369	YAMATseq_SKBR3_A	0	bowtie2
multiple	single	incorrect	1281	YAMATseq_SKBR3_A	0	bowtie2
multiple	single	correct	449800	YAMATseq_SKBR3_A	0	bowtie2
multiple	multiple	incorrect	86376	YAMATseq_SKBR3_A	0	bowtie2
single	single	correct	422942	YAMATseq_SKBR3_A	0	shrimp
single	single	incorrect	2717	YAMATseq_SKBR3_A	0	shrimp
multiple	single	incorrect	855	YAMATseq_SKBR3_A	0	shrimp
multiple	single	correct	421133	YAMATseq_SKBR3_A	0	shrimp
multiple	multiple	incorrect	68969	YAMATseq_SKBR3_A	0	shrimp
single	single	correct	449547	YAMATseq_SKBR3_B	0	bowtie2
single	single	incorrect	4110	YAMATseq_SKBR3_B	0	bowtie2
multiple	single	incorrect	1463	YAMATseq_SKBR3_B	0	bowtie2
multiple	single	correct	446997	YAMATseq_SKBR3_B	0	bowtie2
multiple	multiple	incorrect	84468	YAMATseq_SKBR3_B	0	bowtie2
single	single	correct	430089	YAMATseq_SKBR3_B	0	shrimp
single	single	incorrect	2899	YAMATseq_SKBR3_B	0	shrimp
multiple	single	incorrect	1077	YAMATseq_SKBR3_B	0	shrimp
multiple	single	correct	422510	YAMATseq_SKBR3_B	0	shrimp
multiple	multiple	incorrect	67957	YAMATseq_SKBR3_B	0	shrimp
single	single	correct	448164	YAMATseq_SKBR3_C	0	bowtie2
single	single	incorrect	3296	YAMATseq_SKBR3_C	0	bowtie2
multiple	multiple	incorrect	87724	YAMATseq_SKBR3_C	0	bowtie2
multiple	single	incorrect	1154	YAMATseq_SKBR3_C	0	bowtie2
multiple	single	correct	443833	YAMATseq_SKBR3_C	0	bowtie2
single	single	correct	422261	YAMATseq_SKBR3_C	0	shrimp
single	single	incorrect	2446	YAMATseq_SKBR3_C	0	shrimp
multiple	multiple	incorrect	69032	YAMATseq_SKBR3_C	0	shrimp
multiple	single	incorrect	914	YAMATseq_SKBR3_C	0	shrimp
multiple	single	correct	414843	YAMATseq_SKBR3_C	0	shrimp
single	single	correct	473111	mimtRNAseq_Hsap_HEK293T_rep1	0	bowtie2
single	single	incorrect	4185	mimtRNAseq_Hsap_HEK293T_rep1	0	bowtie2
multiple	multiple	incorrect	81519	mimtRNAseq_Hsap_HEK293T_rep1	0	bowtie2
multiple	single	correct	427970	mimtRNAseq_Hsap_HEK293T_rep1	0	bowtie2
multiple	single	incorrect	756	mimtRNAseq_Hsap_HEK293T_rep1	0	bowtie2
single	single	correct	448340	mimtRNAseq_Hsap_HEK293T_rep1	0	shrimp
single	single	incorrect	4122	mimtRNAseq_Hsap_HEK293T_rep1	0	shrimp
multiple	multiple	incorrect	60989	mimtRNAseq_Hsap_HEK293T_rep1	0	shrimp
multiple	single	incorrect	835	mimtRNAseq_Hsap_HEK293T_rep1	0	shrimp
multiple	single	correct	403452	mimtRNAseq_Hsap_HEK293T_rep1	0	shrimp
single	single	correct	468241	mimtRNAseq_Hsap_HEK293T_rep2	0	bowtie2
single	single	incorrect	2818	mimtRNAseq_Hsap_HEK293T_rep2	0	bowtie2
multiple	multiple	incorrect	79657	mimtRNAseq_Hsap_HEK293T_rep2	0	bowtie2
multiple	single	correct	435851	mimtRNAseq_Hsap_HEK293T_rep2	0	bowtie2
multiple	single	incorrect	957	mimtRNAseq_Hsap_HEK293T_rep2	0	bowtie2
single	single	correct	443979	mimtRNAseq_Hsap_HEK293T_rep2	0	shrimp
single	single	incorrect	2500	mimtRNAseq_Hsap_HEK293T_rep2	0	shrimp
multiple	multiple	incorrect	59647	mimtRNAseq_Hsap_HEK293T_rep2	0	shrimp
multiple	single	correct	412252	mimtRNAseq_Hsap_HEK293T_rep2	0	shrimp
multiple	single	incorrect	880	mimtRNAseq_Hsap_HEK293T_rep2	0	shrimp
single	single	correct	463187	mimtRNAseq_Hsap_K562_rep1	0	bowtie2
single	single	incorrect	1366	mimtRNAseq_Hsap_K562_rep1	0	bowtie2
multiple	multiple	incorrect	93221	mimtRNAseq_Hsap_K562_rep1	0	bowtie2
multiple	single	correct	425573	mimtRNAseq_Hsap_K562_rep1	0	bowtie2
multiple	single	incorrect	494	mimtRNAseq_Hsap_K562_rep1	0	bowtie2
single	single	correct	436957	mimtRNAseq_Hsap_K562_rep1	0	shrimp
single	single	incorrect	1141	mimtRNAseq_Hsap_K562_rep1	0	shrimp
multiple	multiple	incorrect	66870	mimtRNAseq_Hsap_K562_rep1	0	shrimp
multiple	single	incorrect	540	mimtRNAseq_Hsap_K562_rep1	0	shrimp
multiple	single	correct	402526	mimtRNAseq_Hsap_K562_rep1	0	shrimp
single	single	correct	461337	mimtRNAseq_Hsap_K562_rep2	0	bowtie2
single	single	incorrect	1550	mimtRNAseq_Hsap_K562_rep2	0	bowtie2
multiple	multiple	incorrect	92480	mimtRNAseq_Hsap_K562_rep2	0	bowtie2
multiple	single	incorrect	544	mimtRNAseq_Hsap_K562_rep2	0	bowtie2
multiple	single	correct	423440	mimtRNAseq_Hsap_K562_rep2	0	bowtie2
single	single	correct	428096	mimtRNAseq_Hsap_K562_rep2	0	shrimp
single	single	incorrect	977	mimtRNAseq_Hsap_K562_rep2	0	shrimp
multiple	multiple	incorrect	63186	mimtRNAseq_Hsap_K562_rep2	0	shrimp
multiple	single	correct	397085	mimtRNAseq_Hsap_K562_rep2	0	shrimp
multiple	single	incorrect	420	mimtRNAseq_Hsap_K562_rep2	0	shrimp
single	single	correct	465225	mimtRNAseq_Hsap_iPSC_rep1	0	bowtie2
single	single	incorrect	4711	mimtRNAseq_Hsap_iPSC_rep1	0	bowtie2
multiple	multiple	incorrect	88496	mimtRNAseq_Hsap_iPSC_rep1	0	bowtie2
multiple	single	correct	425671	mimtRNAseq_Hsap_iPSC_rep1	0	bowtie2
multiple	single	incorrect	483	mimtRNAseq_Hsap_iPSC_rep1	0	bowtie2
single	single	correct	435969	mimtRNAseq_Hsap_iPSC_rep1	0	shrimp
single	single	incorrect	4256	mimtRNAseq_Hsap_iPSC_rep1	0	shrimp
multiple	single	correct	400196	mimtRNAseq_Hsap_iPSC_rep1	0	shrimp
multiple	single	incorrect	510	mimtRNAseq_Hsap_iPSC_rep1	0	shrimp
multiple	multiple	incorrect	65298	mimtRNAseq_Hsap_iPSC_rep1	0	shrimp
single	single	correct	478766	mimtRNAseq_Hsap_iPSC_rep2	0	bowtie2
single	single	incorrect	1324	mimtRNAseq_Hsap_iPSC_rep2	0	bowtie2
multiple	multiple	incorrect	80549	mimtRNAseq_Hsap_iPSC_rep2	0	bowtie2
multiple	single	incorrect	530	mimtRNAseq_Hsap_iPSC_rep2	0	bowtie2
multiple	single	correct	427987	mimtRNAseq_Hsap_iPSC_rep2	0	bowtie2
single	single	correct	454399	mimtRNAseq_Hsap_iPSC_rep2	0	shrimp
single	single	incorrect	1004	mimtRNAseq_Hsap_iPSC_rep2	0	shrimp
multiple	multiple	incorrect	62042	mimtRNAseq_Hsap_iPSC_rep2	0	shrimp
multiple	single	correct	407215	mimtRNAseq_Hsap_iPSC_rep2	0	shrimp
multiple	single	incorrect	682	mimtRNAseq_Hsap_iPSC_rep2	0	shrimp
